t_s,y_pred,u_cmd,error,reference
0.0,-1.3057061930775151,0.4932139416158203,,
1.0,-1.3057061930775153,0.3,251.30570619307753,250.0
2.0,-2.1555692972043397,0.3,252.15556929720435,250.0
3.0,-4.23121507038447,0.3,254.23121507038448,250.0
4.0,-7.67917396548583,0.3,257.6791739654858,250.0
5.0,-11.88195742504898,0.3,261.881957425049,250.0
6.0,-16.22788840008786,0.3,266.22788840008786,250.0
7.0,-20.1823585844739,0.3,270.1823585844739,250.0
8.0,-23.33904995556565,0.3,273.33904995556566,250.0
9.0,-25.448156307368546,0.3,275.44815630736855,250.0
10.0,-26.421808728769662,0.3,276.42180872876963,250.0
11.0,-26.319566542893742,0.3,276.31956654289377,250.0
12.0,-25.318747057514614,0.3,275.3187470575146,250.0
13.0,-23.675422615945944,0.3,273.67542261594593,250.0
14.0,-21.682119013043675,0.3,271.6821190130437,250.0
15.0,-19.627711596491764,0.3,269.62771159649174,250.0
16.0,-17.763911912536777,0.3,267.7639119125368,250.0
17.0,-16.28128562971589,0.3,266.2812856297159,250.0
18.0,-15.296166523099988,0.3,265.2961665231,250.0
19.0,-14.848336434785994,0.3,264.848336434786,250.0
20.0,-14.908091215109968,0.3,264.90809121510995,250.0
21.0,-15.390417500440227,0.3,265.3904175004402,250.0
22.0,-16.17351589245006,0.3,266.17351589245004,250.0
23.0,-17.118818044655328,0.3,267.1188180446553,250.0
24.0,-18.089907092464856,0.3,268.08990709246484,250.0
25.0,-18.968278128831592,0.3,268.96827812883157,250.0
26.0,-19.664565080071437,0.3,269.66456508007144,250.0
27.0,-20.124606085534413,0.3,270.1246060855344,250.0
28.0,-20.330424749878947,0.3,270.33042474987894,250.0
29.0,-20.296792447082193,0.3,270.29679244708217,250.0
30.0,-20.064455917348795,0.3,270.0644559173488,250.0
31.0,-19.69134120137422,0.3,269.6913412013742,250.0
32.0,-19.24308227951567,0.3,269.24308227951565,250.0
33.0,-18.78409532806542,0.3,268.7840953280654,250.0
34.0,-18.37016761487502,0.3,268.370167614875,250.0
35.0,-18.043202556675737,0.3,268.04320255667574,250.0
36.0,-17.828409594262485,0.3,267.8284095942625,250.0
37.0,-17.73389482756546,0.3,267.73389482756545,250.0
38.0,-17.752331940206805,0.3,267.75233194020683,250.0
39.0,-17.864196788494073,0.3,267.8641967884941,250.0
40.0,-18.041943942608924,0.3,268.0419439426089,250.0
41.0,-18.25448785552424,0.3,268.25448785552425,250.0
42.0,-18.471413296098422,0.3,268.47141329609843,250.0
43.0,-18.666459993066827,0.3,268.66645999306684,250.0
44.0,-18.819981942712996,0.3,268.819981942713,250.0
