t_s,y_pred_mOhm,u_cmd,e,r
0.0,1.0593987664180782,0.0005953639341352,-0.03989027611377982,1.02
1.0,1.0598902761137798,0.008573419156891164,-0.052638457374183156,1.02
2.0,1.0726384573741832,0.021650746883808462,-0.07148266720080865,1.02
3.0,1.0914826672008087,0.039716122289295296,-0.08637684209649565,1.02
4.0,1.1063768420964957,0.05997032568773183,-0.09585906563466895,1.02
5.0,1.115859065634669,0.08103858352230027,-0.0992719065312373,1.02
6.0,1.1192719065312373,0.1015755330078614,-0.09849835692496689,1.02
7.0,1.118498356924967,0.1211204944716007,-0.09523264199052317,1.02
8.0,1.1152326419905232,0.1395138798828166,-0.0911419214222775,1.02
9.0,1.1111419214222775,0.15692412005362297,-0.0872028661496469,1.02
10.0,1.107202866149647,0.1735768822290262,-0.08392165214780856,1.02
11.0,1.1039216521478086,0.18970496985822025,-0.08137374870088387,1.02
12.0,1.101373748700884,0.20547013890901208,-0.07943005362171851,1.02
13.0,1.0994300536217185,0.2209674106175227,-0.07787459890977355,1.02
14.0,1.0978745989097736,0.23623123945708843,-0.07651059437805241,1.02
15.0,1.0965105943780524,0.25126055742635467,-0.07519674266797205,1.02
16.0,1.095196742667972,0.266037135617933,-0.07385766871529142,1.02
17.0,1.0938576687152914,0.2805408545704552,-0.0724692621060985,1.02
18.0,1.0924692621060985,0.2947570256698363,-0.07103980546079613,1.02
19.0,1.0910398054607962,0.30867909543293504,-0.06959140215359905,1.02
20.0,1.089591402153599,0.3223076952022154,-0.06814748459915254,1.02
21.0,1.0881474845991526,0.33564840861115663,-0.06672596924011054,1.02
22.0,1.0867259692401106,0.3487092993873704,-0.06533731061975323,1.02
23.0,1.0853373106197532,0.36149902978724957,-0.06398537082130007,1.02
24.0,1.0839853708213,0.37402571599181894,-0.06266956636066312,1.02
25.0,1.0826695663606631,0.38629646837182413,-0.061387074162555955,1.02
26.0,1.081387074162556,0.3983173847647139,-0.060134525177408804,1.02
27.0,1.0801345251774088,0.4100937800031662,-0.058908997990648526,1.02
28.0,1.0789089979906485,0.42163047416394384,-0.05770841089467682,1.02
29.0,1.0777084108946768,0.43293203892368487,-0.0565315078147417,1.02
30.0,1.0765315078147417,0.44400295987064614,-0.05537764397532219,1.02
31.0,1.0753776439753222,0.4548477158978267,-0.05424652434857924,1.02
32.0,1.0742465243485793,0.46547079684219395,-0.05313798514606849,1.02
33.0,1.0731379851460685,0.4758766860309055,-0.052051852478620875,1.02
34.0,1.072051852478621,0.48606982999314013,-0.05098787600673371,1.02
35.0,1.0709878760067337,0.4960546099001094,-0.04994571726067232,1.02
36.0,1.0699457172606723,0.5058353216030316,-0.04892496851031569,1.02
37.0,1.0689249685103157,0.5154161655550233,-0.047925182195785565,1.02
38.0,1.0679251821957856,0.5248012447312744,-0.04694589815368322,1.02
39.0,1.0669458981536832,0.5339945675535905,-0.04598666274823571,1.02
40.0,1.0659866627482357,0.5430000530221482,-0.04504703899980367,1.02
41.0,1.0650470389998037,0.5518215360724225,-0.04412660954420855,1.02
42.0,1.0641266095442086,0.5604627720901451,-0.043224975176377134,1.02
43.0,1.0632249751763772,0.5689274402518542,-0.04234175149347008,1.02
44.0,1.06234175149347,0.5772191458139667,-0.0414765653925393,1.02
45.0,1.0614765653925393,0.5853414216722884,-0.040629052346578653,1.02
46.0,1.0606290523465787,0.593297729532412,-0.03979885472806921,1.02
47.0,1.0597988547280692,0.601091460954324,-0.03898562104987291,1.02
48.0,1.058985621049873,0.6087259384286593,-0.03818900582494078,1.02
49.0,1.0581890058249408,0.616204416548661,-0.037408669737262645,1.02
50.0,1.0574086697372627,0.623530083278578,-0.03664427989026153,1.02
51.0,1.0566442798902616,0.6307060612872301,-0.03589550999559954,1.02
52.0,1.0558955099955996,0.6377354093074176,-0.03516204044911064,1.02
53.0,1.0551620404491107,0.6446211234879419,-0.0344435582964131,1.02
54.0,1.0544435582964131,0.651366138716685,-0.033739757118280034,1.02
55.0,1.05373975711828,0.6579733299047145,-0.03305033687207182,1.02
56.0,1.0530503368720718,0.6644455132298872,-0.032375003719417705,1.02
57.0,1.0523750037194177,0.6707854473432399,-0.03171346985954093,1.02
58.0,1.051713469859541,0.6769958345431727,-0.03106545337722677,1.02
59.0,1.0510654533772268,0.6830793219221553,-0.030430678106864173,1.02
60.0,1.0504306781068642,0.6890385024894555,-0.02980887350981587,1.02
61.0,1.0498088735098159,0.694875916272009,-0.029199774560929592,1.02
62.0,1.0491997745609296,0.7005940513944177,-0.028603121640338625,1.02
63.0,1.0486031216403386,0.7061953451383672,-0.028018660427835407,1.02
64.0,1.0480186604278354,0.7116821849814337,-0.0274461417983618,1.02
65.0,1.0474461417983618,0.7170569096152113,-0.026885321718144173,1.02
66.0,1.0468853217181442,0.7223218099427966,-0.026335961141612962,1.02
67.0,1.046335961141613,0.727479130055813,-0.025797825909515293,1.02
68.0,1.0457978259095153,0.7325310681912965,-0.025270686648632523,1.02
69.0,1.0452706866486325,0.7374797776688464,-0.024754318673424258,1.02
70.0,1.0447543186734243,0.7423273678084896,-0.024248501889756024,1.02
71.0,1.044248501889756,0.7470759048297072,-0.02375302070076213,1.02
72.0,1.0437530207007621,0.7517274127320608,-0.023267663914791292,1.02
