r1,r2,r3
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300
300,300,300

