timestamp,El1_Resistance_mOhm_filt_lag1,El1_Resistance_mOhm_filt_lag2,El1_Resistance_mOhm_filt_lag3,El1_Resistance_mOhm_filt_lag4,El1_Resistance_mOhm_filt_lag5,El1_Resistance_mOhm_filt_lag6,El1_Resistance_mOhm_filt_lag7,El1_Resistance_mOhm_filt_lag8,El1_Resistance_mOhm_filt_lag9,El1_Resistance_mOhm_filt_lag10,El1_pos_m_filt_lag1,El1_pos_m_filt_lag2,El1_pos_m_filt_lag3,El1_pos_m_filt_lag4,El1_pos_m_filt_lag5,El1_pos_m_filt_lag6,El1_pos_m_filt_lag7,El1_pos_m_filt_lag8,El1_pos_m_filt_lag9,El1_pos_m_filt_lag10,kA1_lag1,kA1_lag2,kA1_lag3,kA1_lag4,kA1_lag5,kA1_lag6,kA1_lag7,kA1_lag8,kA1_lag9,kA1_lag10,El1_Resistance_mOhm_filt,R_tilde_El1,El2_Resistance_mOhm_filt_lag1,El2_Resistance_mOhm_filt_lag2,El2_Resistance_mOhm_filt_lag3,El2_Resistance_mOhm_filt_lag4,El2_Resistance_mOhm_filt_lag5,El2_Resistance_mOhm_filt_lag6,El2_Resistance_mOhm_filt_lag7,El2_Resistance_mOhm_filt_lag8,El2_Resistance_mOhm_filt_lag9,El2_Resistance_mOhm_filt_lag10,El1_Resistance_mOhm_filt_lag1->El2,El1_Resistance_mOhm_filt_lag2->El2,El1_Resistance_mOhm_filt_lag3->El2,El1_Resistance_mOhm_filt_lag4->El2,El1_Resistance_mOhm_filt_lag5->El2,El1_Resistance_mOhm_filt_lag6->El2,El1_Resistance_mOhm_filt_lag7->El2,El1_Resistance_mOhm_filt_lag8->El2,El1_Resistance_mOhm_filt_lag9->El2,El1_Resistance_mOhm_filt_lag10->El2,El2_pos_m_filt_lag1,El2_pos_m_filt_lag2,El2_pos_m_filt_lag3,El2_pos_m_filt_lag4,El2_pos_m_filt_lag5,El2_pos_m_filt_lag6,El2_pos_m_filt_lag7,El2_pos_m_filt_lag8,El2_pos_m_filt_lag9,El2_pos_m_filt_lag10,kA2_lag1,kA2_lag2,kA2_lag3,kA2_lag4,kA2_lag5,kA2_lag6,kA2_lag7,kA2_lag8,kA2_lag9,kA2_lag10,El2_Resistance_mOhm_filt,R_tilde_El2,El3_Resistance_mOhm_filt_lag1,El3_Resistance_mOhm_filt_lag2,El3_Resistance_mOhm_filt_lag3,El3_Resistance_mOhm_filt_lag4,El3_Resistance_mOhm_filt_lag5,El3_Resistance_mOhm_filt_lag6,El3_Resistance_mOhm_filt_lag7,El3_Resistance_mOhm_filt_lag8,El3_Resistance_mOhm_filt_lag9,El3_Resistance_mOhm_filt_lag10,El1_Resistance_mOhm_filt_lag1->El3,El1_Resistance_mOhm_filt_lag2->El3,El1_Resistance_mOhm_filt_lag3->El3,El1_Resistance_mOhm_filt_lag4->El3,El1_Resistance_mOhm_filt_lag5->El3,El1_Resistance_mOhm_filt_lag6->El3,El1_Resistance_mOhm_filt_lag7->El3,El1_Resistance_mOhm_filt_lag8->El3,El1_Resistance_mOhm_filt_lag9->El3,El1_Resistance_mOhm_filt_lag10->El3,El2_Resistance_mOhm_filt_lag1->El3,El2_Resistance_mOhm_filt_lag2->El3,El2_Resistance_mOhm_filt_lag3->El3,El2_Resistance_mOhm_filt_lag4->El3,El2_Resistance_mOhm_filt_lag5->El3,El2_Resistance_mOhm_filt_lag6->El3,El2_Resistance_mOhm_filt_lag7->El3,El2_Resistance_mOhm_filt_lag8->El3,El2_Resistance_mOhm_filt_lag9->El3,El2_Resistance_mOhm_filt_lag10->El3,El3_pos_m_filt_lag1,El3_pos_m_filt_lag2,El3_pos_m_filt_lag3,El3_pos_m_filt_lag4,El3_pos_m_filt_lag5,El3_pos_m_filt_lag6,El3_pos_m_filt_lag7,El3_pos_m_filt_lag8,El3_pos_m_filt_lag9,El3_pos_m_filt_lag10,kA3_lag1,kA3_lag2,kA3_lag3,kA3_lag4,kA3_lag5,kA3_lag6,kA3_lag7,kA3_lag8,kA3_lag9,kA3_lag10,El3_Resistance_mOhm_filt,R_tilde_El3
2026-04-05 03:57:20,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.9384158091857608,0.9397978917962503,0.9404676245261926,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.56,130.98,130.39,130.34,130.28,130.89,130.21,130.09,130.2,130.58,0.9252118674753642,0.9252118674753642,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,1.063121038789868,1.0634410224534965,1.0639104836982962,1.0645080148098678,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.9384158091857608,0.9397978917962503,0.9404676245261926,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,128.08,127.43,127.23,127.7,126.94,127.58,127.36,127.37,127.05,126.9,1.0651812937276528,1.0651812937276528,1.132339768762879,1.132717683011561,1.1331940379714533,1.1338063887241732,1.1345646641530787,1.13545113954124,1.136424350310154,1.1374262922616765,1.1383917124480016,1.139257884359137,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.9384158091857608,0.9397978917962503,0.9404676245261926,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,1.063121038789868,1.0634410224534965,1.0639104836982962,1.0645080148098678,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,0.0,0.0,0.0,0.0,121.99,122.2,122.2,122.43,122.69,122.49,122.09,121.85,121.76,122.51,1.1319992250920012,1.1319992250920012
2026-04-05 03:57:21,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.9384158091857608,0.9397978917962503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.94,131.56,130.98,130.39,130.34,130.28,130.89,130.21,130.09,130.2,0.926099884800994,0.926099884800994,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,1.063121038789868,1.0634410224534965,1.0639104836982962,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.9384158091857608,0.9397978917962503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.69,128.08,127.43,127.23,127.7,126.94,127.58,127.36,127.37,127.05,1.06575868117397,1.06575868117397,1.1319992250920012,1.132339768762879,1.132717683011561,1.1331940379714533,1.1338063887241732,1.1345646641530787,1.13545113954124,1.136424350310154,1.1374262922616765,1.1383917124480016,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.9384158091857608,0.9397978917962503,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,1.063121038789868,1.0634410224534965,1.0639104836982962,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,0.0,0.0,0.0,121.8,121.99,122.2,122.2,122.43,122.69,122.49,122.09,121.85,121.76,1.1316192814630843,1.1316192814630843
2026-04-05 03:57:22,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.9384158091857608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.91,130.94,131.56,130.98,130.39,130.34,130.28,130.89,130.21,130.09,0.9278839247728853,0.9278839247728853,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,1.063121038789868,1.0634410224534965,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.9384158091857608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.67,127.69,128.08,127.43,127.23,127.7,126.94,127.58,127.36,127.37,1.0662591546251592,1.0662591546251592,1.1316192814630843,1.1319992250920012,1.132339768762879,1.132717683011561,1.1331940379714533,1.1338063887241732,1.1345646641530787,1.13545113954124,1.136424350310154,1.1374262922616765,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.9384158091857608,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,1.063121038789868,1.0634410224534965,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,0.0,0.0,121.8,121.8,121.99,122.2,122.2,122.43,122.69,122.49,122.09,121.85,1.1311180002570118,1.1311180002570118
2026-04-05 03:57:23,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.76,130.91,130.94,131.56,130.98,130.39,130.34,130.28,130.89,130.21,0.9305255866163014,0.9305255866163014,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,1.063121038789868,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.71,127.67,127.69,128.08,127.43,127.23,127.7,126.94,127.58,127.36,1.0666338074501671,1.0666338074501671,1.1311180002570118,1.1316192814630843,1.1319992250920012,1.132339768762879,1.132717683011561,1.1331940379714533,1.1338063887241732,1.1345646641530787,1.13545113954124,1.136424350310154,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.9364873073637815,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,1.063121038789868,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,0.0,121.81,121.8,121.8,121.99,122.2,122.2,122.43,122.69,122.49,122.09,1.1304199610944943,1.1304199610944943
2026-04-05 03:57:24,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.38,130.76,130.91,130.94,131.56,130.98,130.39,130.34,130.28,130.89,0.9339384727952511,0.9339384727952511,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.41,127.71,127.67,127.69,128.08,127.43,127.23,127.7,126.94,127.58,1.0668450073870548,1.0668450073870548,1.1304199610944943,1.1311180002570118,1.1316192814630843,1.1319992250920012,1.132339768762879,1.132717683011561,1.1331940379714533,1.1338063887241732,1.1345646641530787,1.13545113954124,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.934209942897274,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,1.062967596047461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,-0.0021099999999999453,121.68,121.81,121.8,121.8,121.99,122.2,122.2,122.43,122.69,122.49,1.1294672000363273,1.1294672000363273
2026-04-05 03:57:25,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.33,130.38,130.76,130.91,130.94,131.56,130.98,130.39,130.34,130.28,0.9379980352062093,0.9379980352062093,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.24,127.41,127.71,127.67,127.69,128.08,127.43,127.23,127.7,126.94,1.0668705055051446,1.0668705055051446,1.1294672000363273,1.1304199610944943,1.1311180002570118,1.1316192814630843,1.1319992250920012,1.132339768762879,1.132717683011561,1.1331940379714533,1.1338063887241732,1.1345646641530787,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.9318015001223854,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,1.0629896514300523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,-0.005360000000000031,121.48,121.68,121.81,121.8,121.8,121.99,122.2,122.2,122.43,122.69,1.1282276064213224,1.1282276064213224
2026-04-05 03:57:26,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.22,130.33,130.38,130.76,130.91,130.94,131.56,130.98,130.39,130.34,0.9425532336603555,0.9425532336603555,1.0668705055051446,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.71,127.24,127.41,127.71,127.67,127.69,128.08,127.43,127.23,127.7,1.066705985543745,1.066705985543745,1.1282276064213224,1.1294672000363273,1.1304199610944943,1.1311180002570118,1.1316192814630843,1.1319992250920012,1.132339768762879,1.132717683011561,1.1331940379714533,1.1338063887241732,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.9294875298020083,1.0668705055051446,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,1.0631847925581979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022999999999995246,121.84,121.48,121.68,121.81,121.8,121.8,121.99,122.2,122.2,122.43,1.1266995145605,1.1266995145605
2026-04-05 03:57:27,0.9425532336603555,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.33,130.22,130.33,130.38,130.76,130.91,130.94,131.56,130.98,130.39,0.9474383716042284,0.9474383716042284,1.066705985543745,1.0668705055051446,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,0.9425532336603555,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.68,126.71,127.24,127.41,127.71,127.67,127.69,128.08,127.43,127.23,1.0663655264389453,1.0663655264389453,1.1266995145605,1.1282276064213224,1.1294672000363273,1.1304199610944943,1.1311180002570118,1.1316192814630843,1.1319992250920012,1.132339768762879,1.132717683011561,1.1331940379714533,0.9425532336603555,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.9274880959272153,1.066705985543745,1.0668705055051446,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,1.0635371454417748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.11,121.84,121.48,121.68,121.81,121.8,121.8,121.99,122.2,122.2,1.1249120427910457,1.1249120427910457
2026-04-05 03:57:28,0.9474383716042284,0.9425532336603555,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.69,130.33,130.22,130.33,130.38,130.76,130.91,130.94,131.56,130.98,0.9524838519127565,0.9524838519127565,1.0663655264389453,1.066705985543745,1.0668705055051446,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,0.9474383716042284,0.9425532336603555,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.13,126.68,126.71,127.24,127.41,127.71,127.67,127.69,128.08,127.43,1.0658797203822556,1.0658797203822556,1.1249120427910457,1.1266995145605,1.1282276064213224,1.1294672000363273,1.1304199610944943,1.1311180002570118,1.1316192814630843,1.1319992250920012,1.132339768762879,1.132717683011561,0.9474383716042284,0.9425532336603555,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.9260040902411169,1.0663655264389453,1.066705985543745,1.0668705055051446,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,1.0640169615024098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.34,122.11,121.84,121.48,121.68,121.81,121.8,121.8,121.99,122.2,1.1229215585659933,1.1229215585659933
2026-04-05 03:57:29,0.9524838519127565,0.9474383716042284,0.9425532336603555,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.2,130.69,130.33,130.22,130.33,130.38,130.76,130.91,130.94,131.56,0.9575251517547263,0.9575251517547263,1.0658797203822556,1.0663655264389453,1.066705985543745,1.0668705055051446,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,0.9524838519127565,0.9474383716042284,0.9425532336603555,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.44,127.13,126.68,126.71,127.24,127.41,127.71,127.67,127.69,128.08,1.0652915997942203,1.0652915997942203,1.1229215585659933,1.1249120427910457,1.1266995145605,1.1282276064213224,1.1294672000363273,1.1304199610944943,1.1311180002570118,1.1316192814630843,1.1319992250920012,1.132339768762879,0.9524838519127565,0.9474383716042284,0.9425532336603555,0.9379980352062093,0.9339384727952511,0.9305255866163014,0.9278839247728853,0.926099884800994,0.9252118674753642,0.9252039131393124,1.0658797203822556,1.0663655264389453,1.066705985543745,1.0668705055051446,1.0668450073870548,1.0666338074501671,1.0662591546251592,1.06575868117397,1.0651812937276528,1.0645821037393053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.65,122.34,122.11,121.84,121.48,121.68,121.81,121.8,121.8,121.99,1.1208052067781495,1.1208052067781495
