t_s,y1,y2,y3,r1,r2,r3,u1,u2,u3,e1,e2,e3
0.0,1.072539571059118,1.0595115570197593,1.0833109208967169,,,,,,,-0.05431385405302813,-0.038700841453146895,-0.06593213502606887
1.0,1.0743138540530281,1.058700841453147,1.085932135026069,1.02,1.02,1.02,1.0425903189012284,0.837057329610164,0.4754162846194192,-0.05005457893369236,-0.04472026380815075,-0.0613641011974837
2.0,1.0700545789336924,1.0647202638081508,1.0813641011974837,1.02,1.02,1.02,1.0415892273225547,0.836162924334001,0.47418900259546953,-0.050048526409146366,-0.0447266941155533,-0.06135823927923534
3.0,1.0700485264091464,1.0647266941155533,1.0813582392792354,1.02,1.02,1.02,1.0405882567943718,0.8352683904516899,0.4729618378098848,-0.05004724795107207,-0.044725173120972794,-0.06135654314579786
4.0,1.070047247951072,1.0647251731209728,1.0813565431457979,1.02,1.02,1.02,1.0395873118353505,0.8343738869892704,0.47173470694696884,-0.05004597473906758,-0.044723641901788236,-0.06135485118588124
5.0,1.0700459747390676,1.0647236419017883,1.0813548511858813,1.02,1.02,1.02,1.0385863923405692,0.8334794141512346,0.4705076099232512,-0.05004470157256913,-0.04472211071450438,-0.06135315927374729
6.0,1.0700447015725691,1.0647221107145044,1.0813531592737473,1.02,1.02,1.02,1.0375854983091177,0.8325849719369445,0.46928054673777625,-0.05004342844607912,-0.04472057957200404,-0.061351467405075244
7.0,1.0700434284460791,1.064720579572004,1.0813514674050753,1.02,1.02,1.02,1.0365846297401962,0.8316905603455044,0.46805351738967477,-0.05004215535959067,-0.04471904847430208,-0.061349775579858656
8.0,1.0700421553595907,1.064719048474302,1.0813497755798587,1.02,1.02,1.02,1.0355837866330044,0.8307961793760184,0.4668265218780776,-0.050040882313102664,-0.04471751742139718,-0.06134808379809642
9.0,1.0700408823131027,1.0647175174213972,1.0813480837980964,1.02,1.02,1.02,1.0345829689867423,0.8299018290275904,0.4655995602021157,-0.050039609306613775,-0.044715986413288666,-0.0613463920597872
10.0,1.0700396093066138,1.0647159864132887,1.0813463920597872,1.02,1.02,1.02,1.03358217680061,0.8290075092993245,0.4643726323609199,-0.05003833634012267,-0.04471445544997499,-0.061344700364929894
11.0,1.0700383363401227,1.064714455449975,1.08134470036493,1.02,1.02,1.02,1.0325814100738075,0.8281132201903251,0.46314573835362133,-0.05003706341362846,-0.044712924531455034,-0.06134300871352316
12.0,1.0700370634136285,1.064712924531455,1.0813430087135232,1.02,1.02,1.02,1.031580668805535,0.827218961699696,0.46191887817935084,-0.05003579052712959,-0.04471139365772814,-0.06134131710556545
13.0,1.0700357905271296,1.0647113936577282,1.0813413171055655,1.02,1.02,1.02,1.0305799529949924,0.8263247338265415,0.46069205183723955,-0.05003451768062517,-0.04470986282879297,-0.061339625541055876
14.0,1.0700345176806252,1.064709862828793,1.081339625541056,1.02,1.02,1.02,1.0295792626413798,0.8254305365699656,0.4594652593264184,-0.05003324487411387,-0.04470833204464841,-0.06133793401999288
15.0,1.0700332448741139,1.0647083320446484,1.081337934019993,1.02,1.02,1.02,1.0285785977438975,0.8245363699290726,0.45823850064601857,-0.050031972107594136,-0.044706801305293364,-0.06133624254237513
16.0,1.0700319721075942,1.0647068013052934,1.0813362425423751,1.02,1.02,1.02,1.0275779583017457,0.8236422339029668,0.45701177579517105,-0.0500306993810653,-0.04470527061072671,-0.06133455110820152
17.0,1.0700306993810653,1.0647052706107267,1.0813345511082015,1.02,1.02,1.02,1.0265773443141244,0.8227481284907522,0.455785084773007,-0.050029426694525814,-0.04470373996094734,-0.06133285971747071
18.0,1.0700294266945258,1.0647037399609474,1.0813328597174707,1.02,1.02,1.02,1.0255767557802338,0.8218540536915332,0.4545584275786576,-0.05002815404797478,-0.04470220935595415,-0.06133116837018138
19.0,1.0700281540479748,1.0647022093559542,1.0813311683701814,1.02,1.02,1.02,1.0245761926992742,0.8209600095044141,0.45333180421125396,-0.05002688144141043,-0.04470067879574624,-0.061329477066332405
20.0,1.0700268814414104,1.0647006787957463,1.0813294770663324,1.02,1.02,1.02,1.023575655070446,0.8200659959284992,0.4521052146699273,-0.050025608874832095,-0.04469914828032251,-0.06132778580592224
21.0,1.0700256088748321,1.0646991482803225,1.0813277858059223,1.02,1.02,1.02,1.0225751428929493,0.8191720129628927,0.45087865895380885,-0.05002433634823822,-0.0446976178096814,-0.061326094588949775
22.0,1.0700243363482382,1.0646976178096814,1.0813260945889498,1.02,1.02,1.02,1.0215746561659844,0.818278060606699,0.44965213706202983,-0.05002306386162769,-0.04469608738382247,-0.061324403415413675
