r1,r2,r3
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122
122,122,122

