r1,r2,r3
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
1.02,1.02,1.02
